Time,PointCut,[T]totalTM,[T]FPSR,[1]totalFr,[2]totalTm,[1]totalTm,[1]outSze[T],[1]outSze[2],[2]outSize,[1]GPU_time,[2]GPU_time,[1]peak_RAM,[2]peak_RAM,[1]peak_VRAM,[2]peak_VRAM
20:58:31.585,-1,8.67214,17.6601,61,5.32278,4.0146,2.1 MB,9.0 MB,2.0 B,0.75738s,0.75354s,887.398MB,856.148MB,71.985MB,46.546MB
20:59:34.369,-1,9.54209,15.27023,61,7.34573,3.64051,2.1 MB,9.0 MB,2.0 B,0.85196s,0.85399s,886.445MB,855.344MB,71.985MB,46.546MB
21:0:24.33,-1,15.94462,18.51623,164,12.35243,8.99084,2.1 MB,9.0 MB,2.0 B,1.93234s,1.96101s,888.352MB,856.527MB,71.985MB,46.546MB
21:5:42.183,-1,27.56373,16.22769,164,23.86787,8.73092,2.1 MB,9.0 MB,2.0 B,1.95467s,3.40115s,881.582MB,856.473MB,71.985MB,46.546MB
21:12:46.755,-1,11.22029,15.64015,61,7.89007,4.16699,2.1 MB,9.0 MB,2.0 B,0.82274s,0.79206s,886.102MB,856.578MB,71.985MB,46.546MB
21:13:47.355,-1,11.28531,8.96208,61,8.22026,3.65678,2.1 MB,9.0 MB,2.0 B,0.97882s,0.69176s,887.133MB,855.211MB,71.985MB,46.546MB
10:7:53.574,-1,189.12632,-1,61,50.1736,49.32403,2.1 MB,6.3 MB,2.0 B,3.45907s,3.27477s,3388.629MB,890.156MB,39.985MB,203.915MB
10:9:46.422,-1,49.81339,-1,61,64.88763,64.44944,2.1 MB,9.0 MB,2.0 B,4.63902s,2.05496s,3423.312MB,885.836MB,182.456MB,170.352MB
10:15:15.29,-1,22.15805,-1,61,9.29223,4.12481,2.1 MB,6.3 MB,2.0 B,0.49953s,1.38647s,783.551MB,850.766MB,39.985MB,81.083MB
10:18:26.449,-1,4.83518,20.35817,61,5.405,3.45042,2.1 MB,6.3 MB,2.0 B,0.63186s,1.84001s,782.98MB,849.117MB,39.985MB,81.083MB
10:19:0.818,-1,8.4486,16.28863,61,4.39461,2.62688,2.1 MB,6.3 MB,2.0 B,0.28994s,1.33702s,785.902MB,849.625MB,39.985MB,81.083MB
